Ref,Val,Package,PosX,PosY,Rot,Side
"C5","100n","C_0402_1005Metric",96.629000,-52.130000,90.000000,top
"C7","100n","C_0402_1005Metric",97.829000,-52.130000,90.000000,top
"C9","10u","C_0402_1005Metric",98.929000,-52.130000,90.000000,top
"C15","100n","C_0402_1005Metric",138.500000,-50.465000,90.000000,top
"C21","100n","C_0402_1005Metric",73.450000,-76.100000,0.000000,top
"C23","100n","C_0402_1005Metric",73.450000,-77.250000,0.000000,top
"C26","1u","C_0603_1608Metric",74.050000,-78.600000,0.000000,top
"C28","10u","C_0603_1608Metric",67.500000,-78.250000,0.000000,top
"D1","LED_ARBG","LED_APHF1608SEEQBDZGKC",150.100000,-59.000000,90.000000,top
"D2","LED_red","LED_0402_1005Metric",151.400000,-58.800000,90.000000,top
"D3","TPSP0502BAHTG","SOT-23",107.970000,-78.170000,-90.000000,top
"D5","LED_blue","LED_0402_1005Metric",150.700000,-57.300000,0.000000,top
"D6","LED","LED_PLCC_2835_Handsoldering",65.300000,-57.620000,0.000000,top
"D7","LED","LED_PLCC_2835_Handsoldering",72.250000,-55.440000,0.000000,top
"D8","LED","LED_PLCC_2835_Handsoldering",79.120000,-57.620000,0.000000,top
"D9","LED","LED_PLCC_2835_Handsoldering",113.300000,-57.620000,0.000000,top
"D10","LED","LED_PLCC_2835_Handsoldering",120.250000,-55.440000,0.000000,top
"D11","LED","LED_PLCC_2835_Handsoldering",126.800000,-57.600000,0.000000,top
"D12","LED","LED_PLCC_2835_Handsoldering",89.300000,-57.650000,0.000000,top
"D13","LED","LED_PLCC_2835_Handsoldering",96.250000,-55.470000,0.000000,top
"D14","LED","LED_PLCC_2835_Handsoldering",103.120000,-57.650000,0.000000,top
"F2","ASMD1206-200","Fuse_1206_3216Metric",61.000000,-75.800000,-90.000000,top
"J8","Conn_01x06","J-LINK_6-PIN_NEEDLE_ADAPTER",151.300000,-77.250000,180.000000,top
"Q3","SK335N","SOT-23",71.370000,-61.240000,180.000000,top
"Q4","SK335N","SOT-23",119.370000,-61.240000,180.000000,top
"Q5","SK335N","SOT-23",95.370000,-61.270000,180.000000,top
"R1","5.1K","R_0402_1005Metric",106.450000,-86.050000,-90.000000,top
"R2","5.1K","R_0402_1005Metric",110.050000,-86.050000,-90.000000,top
"R9","10K","R_0402_1005Metric",139.750000,-50.465000,-90.000000,top
"R10","1K","R_0402_1005Metric",73.930000,-61.770000,-90.000000,top
"R15","1K","R_0402_1005Metric",153.800000,-56.600000,90.000000,top
"R16","10K","R_0402_1005Metric",56.000000,-64.800000,180.000000,top
"R19","10K","R_0402_1005Metric",75.040000,-61.730000,-90.000000,top
"R20","20R","R_0402_1005Metric",64.800000,-60.000000,0.000000,top
"R21","1K","R_0402_1005Metric",121.930000,-61.770000,-90.000000,top
"R22","10K","R_0402_1005Metric",123.040000,-61.730000,-90.000000,top
"R23","20R","R_0402_1005Metric",110.000000,-58.200000,-90.000000,top
"R24","1K","R_0402_1005Metric",97.930000,-61.800000,-90.000000,top
"R25","10K","R_0402_1005Metric",99.040000,-61.760000,-90.000000,top
"R26","20R","R_0402_1005Metric",88.600000,-60.000000,0.000000,top
"R27","1K","R_0402_1005Metric",64.590000,-73.750000,180.000000,top
"R28","69.8K","R_0402_1005Metric",64.590000,-74.900000,180.000000,top
"R29","1.54K","R_0402_1005Metric",64.590000,-76.000000,180.000000,top
"R30","1.5K","R_0402_1005Metric",111.120000,-71.890000,180.000000,top
"R32","20R","R_0402_1005Metric",107.020000,-75.080000,90.000000,top
"R33","20R","R_0402_1005Metric",108.930000,-75.080000,90.000000,top
"R38","499R","R_0402_1005Metric",146.400000,-58.300000,0.000000,top
"R39","499R","R_0402_1005Metric",144.700000,-54.900000,180.000000,top
"R40","499R","R_0402_1005Metric",146.400000,-56.600000,0.000000,top
"R41","20R","R_0402_1005Metric",72.690000,-53.000000,0.000000,top
"R42","20R","R_0402_1005Metric",76.000000,-57.200000,-90.000000,top
"R43","20R","R_0402_1005Metric",117.000000,-56.090000,-90.000000,top
"R44","20R","R_0402_1005Metric",123.200000,-58.800000,180.000000,top
"R45","20R","R_0402_1005Metric",94.400000,-53.000000,180.000000,top
"R46","20R","R_0402_1005Metric",99.800000,-57.800000,-90.000000,top
"R47","1K","R_0402_1005Metric",153.600000,-54.800000,180.000000,top
"SW1","reset","SKRPACE010",135.125000,-50.000000,0.000000,top
"SW2","GREEN","SW_SPST_EVQQ2",120.230000,-67.450000,0.000000,top
"SW3","YELLOW","SW_SPST_EVQQ2",96.320000,-67.440000,0.000000,top
"SW4","RED","SW_SPST_EVQQ2",72.240000,-67.420000,0.000000,top
"SW5","CHANNEL","SW_SPST_EVQQ2",138.740000,-74.950000,0.000000,top
"SW6","GREEN","SW_SPST_EVQQ2",151.720000,-67.450000,0.000000,top
"U6","SM420561N","SEGMENT-SLS0281FR1A1GD",141.480000,-54.060000,180.000000,top
"U7","MCP73833-AMI_UN","MSOP-10_W3mm",69.200000,-75.600000,90.000000,top
